subset,condition,score,threshold,accepted,errors,coverage,risk
score,t1,entropy_confidence,0.9,547,8,0.68375,0.014625228519195612
score,t1,entropy_confidence,0.95,474,5,0.5925,0.010548523206751054
score,t1,entropy_confidence,0.99,246,2,0.3075,0.008130081300813009
score,fitted,max_probability,0.0,800,92,1.0,0.115
score,fitted,max_probability,0.5,745,59,0.93125,0.07919463087248323
score,fitted,max_probability,0.6,704,41,0.88,0.05823863636363636
score,fitted,max_probability,0.7,673,27,0.84125,0.04011887072808321
score,fitted,max_probability,0.8,633,15,0.79125,0.023696682464454975
score,fitted,max_probability,0.9,565,9,0.70625,0.01592920353982301
score,fitted,max_probability,0.95,485,5,0.60625,0.010309278350515464
score,fitted,max_probability,0.99,220,2,0.275,0.00909090909090909
score,fitted,entropy_confidence,0.0,800,92,1.0,0.115
score,fitted,entropy_confidence,0.5,671,29,0.83875,0.043219076005961254
score,fitted,entropy_confidence,0.6,631,20,0.78875,0.03169572107765452
score,fitted,entropy_confidence,0.7,588,9,0.735,0.015306122448979591
score,fitted,entropy_confidence,0.8,527,8,0.65875,0.015180265654648957
score,fitted,entropy_confidence,0.9,395,3,0.49375,0.007594936708860759
score,fitted,entropy_confidence,0.95,249,2,0.31125,0.008032128514056224
score,fitted,entropy_confidence,0.99,4,0,0.005,0.0
