subset,condition,score,threshold,accepted,errors,coverage,risk,requested_coverage
generated,fitted,max_probability,0.7048443833486764,1998,57,0.9,0.028528528528528527,0.9
generated,fitted,max_probability,0.23382261326551368,2220,154,1.0,0.06936936936936937,1.0
generated,fitted,entropy_confidence,0.9880564549894826,222,0,0.1,0.0,0.1
generated,fitted,entropy_confidence,0.9795144268837616,444,1,0.2,0.0022522522522522522,0.2
generated,fitted,entropy_confidence,0.9674010709797064,666,2,0.3,0.003003003003003003,0.3
generated,fitted,entropy_confidence,0.9509527429229953,888,2,0.4,0.0022522522522522522,0.4
generated,fitted,entropy_confidence,0.9253642044715159,1110,2,0.5,0.0018018018018018018,0.5
generated,fitted,entropy_confidence,0.8826860176264203,1332,4,0.6,0.003003003003003003,0.6
generated,fitted,entropy_confidence,0.8047114494040856,1554,9,0.7,0.005791505791505791,0.7
generated,fitted,entropy_confidence,0.638554190617288,1776,21,0.8,0.011824324324324325,0.8
generated,fitted,entropy_confidence,0.38984649115321235,1998,57,0.9,0.028528528528528527,0.9
generated,fitted,entropy_confidence,2.5681588265991095e-05,2220,154,1.0,0.06936936936936937,1.0
manual_ai_authored,t1,max_probability,0.9998260546875385,18,0,0.1,0.0,0.1
manual_ai_authored,t1,max_probability,0.9996852423078437,36,0,0.2,0.0,0.2
manual_ai_authored,t1,max_probability,0.9995475239314138,54,0,0.3,0.0,0.3
manual_ai_authored,t1,max_probability,0.9993288938224447,72,0,0.4,0.0,0.4
manual_ai_authored,t1,max_probability,0.9990396459638657,90,0,0.5,0.0,0.5
manual_ai_authored,t1,max_probability,0.9986023996353686,108,0,0.6,0.0,0.6
manual_ai_authored,t1,max_probability,0.9975399528740955,126,0,0.7,0.0,0.7
manual_ai_authored,t1,max_probability,0.9949204353484499,144,0,0.8,0.0,0.8
manual_ai_authored,t1,max_probability,0.97037293076125,162,1,0.9,0.006172839506172839,0.9
manual_ai_authored,t1,max_probability,0.3653333367177821,180,8,1.0,0.044444444444444446,1.0
manual_ai_authored,t1,entropy_confidence,0.9986706774494445,18,0,0.1,0.0,0.1
manual_ai_authored,t1,entropy_confidence,0.9973921061713964,36,0,0.2,0.0,0.2
manual_ai_authored,t1,entropy_confidence,0.9960705152545718,54,0,0.3,0.0,0.3
manual_ai_authored,t1,entropy_confidence,0.994572856213257,72,0,0.4,0.0,0.4
manual_ai_authored,t1,entropy_confidence,0.9917569931660081,90,0,0.5,0.0,0.5
manual_ai_authored,t1,entropy_confidence,0.988625155380897,108,0,0.6,0.0,0.6
manual_ai_authored,t1,entropy_confidence,0.983354591625105,126,0,0.7,0.0,0.7
manual_ai_authored,t1,entropy_confidence,0.96310021196309,144,0,0.8,0.0,0.8
manual_ai_authored,t1,entropy_confidence,0.9050691662688825,162,1,0.9,0.006172839506172839,0.9
manual_ai_authored,t1,entropy_confidence,0.0024925117987606438,180,8,1.0,0.044444444444444446,1.0
