id,dataset,type,group,repetitions,direct_mean_http_ms,one_token_mean_http_ms,json_mean_http_ms,one_token_minus_direct_ms,json_minus_direct_ms,all_conditions_valid
jcola:in_domain_valid:3037,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,287.92016580700874,287.4615420587361,502.9668752104044,-0.4586237482726574,215.04670940339565,True
jcola:in_domain_valid:313,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,283.286583609879,281.6444579511881,490.29687512665987,-1.6421256586909294,207.01029151678085,True
jcola:in_domain_valid:3291,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,275.46154242008924,280.4357917048037,505.2657499909401,4.97424928471446,229.80420757085085,True
jcola:in_domain_valid:3319,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,289.3992909230292,295.65045796334743,512.8342090174556,6.251167040318251,223.4349180944264,True
jcola:in_domain_valid:3426,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,287.755542434752,293.90266677364707,515.3643330559134,6.1471243388950825,227.60879062116146,True
jcola:in_domain_valid:3430,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,318.6869160272181,326.32545894011855,572.3048751242459,7.638542912900448,253.61795909702778,True
jcola:in_domain_valid:3690,JCoLA,noul,jcola-source:1cede1504c70f4527df77dda30c3732285f6c5544bcb90be98e583d518c33e2e,1,200.5852498114109,201.2482089921832,317.32466677203774,0.6629591807723045,116.73941696062684,True
jcola:in_domain_valid:3824,JCoLA,noul,jcola-source:1cede1504c70f4527df77dda30c3732285f6c5544bcb90be98e583d518c33e2e,1,305.8305839076638,297.5554163567722,444.86720906570554,-8.275167550891638,139.03662515804172,True
jcola:in_domain_valid:3835,JCoLA,noul,jcola-source:1cede1504c70f4527df77dda30c3732285f6c5544bcb90be98e583d518c33e2e,1,274.11608304828405,279.6757919713855,497.19487503170967,5.559708923101425,223.07879198342562,True
jcola:in_domain_valid:3843,JCoLA,noul,jcola-source:1cede1504c70f4527df77dda30c3732285f6c5544bcb90be98e583d518c33e2e,1,305.76870776712894,289.64683413505554,427.53629107028246,-16.121873632073402,121.76758330315351,True
jcola:in_domain_valid:3847,JCoLA,noul,jcola-source:1cede1504c70f4527df77dda30c3732285f6c5544bcb90be98e583d518c33e2e,1,268.77679117023945,277.3543340153992,496.04958295822144,8.577542845159769,227.272791787982,True
jcola:in_domain_valid:3879,JCoLA,noul,jcola-source:1cede1504c70f4527df77dda30c3732285f6c5544bcb90be98e583d518c33e2e,1,290.3024172410369,315.6882910989225,540.5309158377349,25.3858738578856,250.22849859669805,True
jcola:in_domain_valid:3919,JCoLA,noul,jcola-source:1cede1504c70f4527df77dda30c3732285f6c5544bcb90be98e583d518c33e2e,1,284.9840000271797,268.99829087778926,532.4627091176808,-15.985709149390459,247.47870909050107,True
jcola:in_domain_valid:4010,JCoLA,noul,jcola-source:5d0c39052f6a801a1425bbaee9fdf44b15fe7411e9355d8d2ad8c9d9b25f8a67,1,216.08254173770547,212.2979578562081,412.65879198908806,-3.784583881497383,196.5762502513826,True
jcola:in_domain_valid:4025,JCoLA,noul,jcola-source:5d0c39052f6a801a1425bbaee9fdf44b15fe7411e9355d8d2ad8c9d9b25f8a67,1,280.325582716614,278.28904101625085,410.94612469896674,-2.036541700363159,130.62054198235273,True
jcola:in_domain_valid:4028,JCoLA,noul,jcola-source:5d0c39052f6a801a1425bbaee9fdf44b15fe7411e9355d8d2ad8c9d9b25f8a67,1,300.0389588996768,302.0431250333786,445.3920000232756,2.0041661337018013,145.3530411235988,True
jcola:in_domain_valid:4034,JCoLA,noul,jcola-source:5d0c39052f6a801a1425bbaee9fdf44b15fe7411e9355d8d2ad8c9d9b25f8a67,1,280.61695769429207,282.278667204082,411.0610829666257,1.6617095097899437,130.44412527233362,True
jcola:in_domain_valid:42,JCoLA,noul,jcola-source:b88f0588ee915942ae5d6fc8fb598a628c713f7e919068f3a2942bffa988785b,1,289.5796252414584,305.91800017282367,532.9771251417696,16.33837493136525,243.39749990031123,True
