dataset,mode,phase,n,mean,p50,p95,min,max,sum
JCoLA,one_token,completion_check_ms,200,0.0005681,0.000583,0.000917,4.1e-05,0.001167,0.11362
JCoLA,one_token,decode_ms,200,0.0,0.0,0.0,0.0,0.0,0.0
JCoLA,one_token,native_total_ms,200,275.49790251499996,281.5569165,313.37035829999996,192.208625,340.057125,55099.580503
JCoLA,one_token,parse_ms,200,0.015055825,0.014937,0.018004199999999998,0.01125,0.020375,3.011165
JCoLA,one_token,prefill_ms,200,272.63865396,278.63216650000004,309.8793395999999,189.870916,336.964333,54527.730792
JCoLA,one_token,readout_ms,200,0.000684385,0.000625,0.001,0.000417,0.00125,0.136877
JCoLA,one_token,render_ms,200,0.6034589,0.5868955,0.7188485499999998,0.461959,0.804,120.69178
JCoLA,one_token,response_prepare_ms,200,0.03734416,0.0366665,0.04350415,0.028459,0.096125,7.468832
JCoLA,one_token,response_serialization_ms,200,0.0049822749999999996,0.004916500000000001,0.006339249999999998,0.00325,0.00775,0.996455
JCoLA,one_token,sampler_setup_ms,200,0.0008495750000000001,0.000833,0.0010860499999999992,0.000375,0.003583,0.169915
JCoLA,one_token,sampling_ms,200,0.289975025,0.28454199999999996,0.3416898999999998,0.232958,0.410667,57.995005
JCoLA,one_token,state_reset_ms,200,0.561305795,0.550208,0.6710788499999998,0.45325,0.741167,112.261159
JCoLA,one_token,tokenize_validate_ms,200,1.339960635,1.3058955,1.5868107499999997,0.991208,1.783041,267.992127
JCoLA,json,completion_check_ms,200,0.044898734999999995,0.046729,0.05684409999999998,0.025373,0.067292,8.979747
JCoLA,json,decode_ms,200,103.660106645,113.65623049999999,124.8471548,57.615292,129.731043,20732.021329
JCoLA,json,native_total_ms,200,478.85577933499997,495.604021,552.1607148999999,300.222542,604.3045,95771.155867
JCoLA,json,parse_ms,200,0.01565979,0.0153955,0.019002099999999997,0.01075,0.022042,3.131958
JCoLA,json,prefill_ms,200,289.69237583,294.36254199999996,330.24832914999996,195.579541,362.077541,57938.475166
JCoLA,json,readout_ms,200,5.9800000000000003e-05,4.2e-05,0.000167,0.0,0.00025,0.01196
JCoLA,json,render_ms,200,0.5987389799999999,0.583396,0.7367350999999999,0.445,0.85475,119.747796
JCoLA,json,response_prepare_ms,200,0.03939871,0.0385415,0.046552399999999994,0.031041,0.078083,7.879742
JCoLA,json,response_serialization_ms,200,0.0044770949999999995,0.004375,0.005542,0.003208,0.00825,0.895419
JCoLA,json,sampler_setup_ms,200,0.01502207,0.0146045,0.01712705,0.012125,0.039334,3.004414
JCoLA,json,sampling_ms,200,83.55486251500001,87.219021,110.35622259999998,45.133748999999995,124.063833,16710.972503
JCoLA,json,state_reset_ms,200,0.561575175,0.5398959999999999,0.6838627999999999,0.4485,1.058417,112.315035
JCoLA,json,tokenize_validate_ms,200,0.65826251,0.6486460000000001,0.7822937499999998,0.491458,0.914042,131.652502
JSTS,direct,completion_check_ms,200,0.0,0.0,0.0,0.0,0.0,0.0
JSTS,direct,decode_ms,200,0.0,0.0,0.0,0.0,0.0,0.0
JSTS,direct,native_total_ms,200,387.87856981,392.509104,443.52455799999996,267.506791,502.415583,77575.713962
JSTS,direct,parse_ms,200,0.0188719,0.018479,0.023182699999999994,0.015417,0.028083,3.77438
JSTS,direct,prefill_ms,200,382.38898770500003,387.18456249999997,437.7319146,262.901917,493.821834,76477.797541
JSTS,direct,readout_ms,200,0.0017144,0.001708,0.00216605,0.001084,0.002584,0.34288
