dataset,split,mode,condition,metric,value,valid,total,coverage
JCoLA,out_of_domain_valid,direct,t1,brier_binary_true,0.09274641490898107,100,100,1.0
JCoLA,out_of_domain_valid,direct,t1,ece_10_equal_width,0.060488769423886445,100,100,1.0
JCoLA,out_of_domain_valid,direct,historical_temperature,nll_logsumexp,0.2814655289577506,100,100,1.0
JCoLA,out_of_domain_valid,direct,historical_temperature,brier_multiclass_sum,0.18245605343498944,100,100,1.0
JCoLA,out_of_domain_valid,direct,historical_temperature,brier_binary_true,0.09122802671749472,100,100,1.0
JCoLA,out_of_domain_valid,direct,historical_temperature,ece_10_equal_width,0.05281616674155999,100,100,1.0
JCoLA,out_of_domain_valid,one_token,hard_label,accuracy,0.86,100,100,1.0
JCoLA,out_of_domain_valid,one_token,hard_label,balanced_accuracy,0.8238095238095238,100,100,1.0
JCoLA,out_of_domain_valid,one_token,hard_label,macro_f1,0.8300145701796988,100,100,1.0
JCoLA,out_of_domain_valid,one_token,hard_label,mcc,0.6609734226557782,100,100,1.0
JCoLA,out_of_domain_valid,one_token,t1,nll_logsumexp,0.2807947343608807,100,100,1.0
JCoLA,out_of_domain_valid,one_token,t1,brier_multiclass_sum,0.18549282981796214,100,100,1.0
JCoLA,out_of_domain_valid,one_token,t1,brier_binary_true,0.09274641490898107,100,100,1.0
JCoLA,out_of_domain_valid,one_token,t1,ece_10_equal_width,0.060488769423886445,100,100,1.0
JCoLA,out_of_domain_valid,one_token,historical_temperature,nll_logsumexp,0.2814655289577506,100,100,1.0
JCoLA,out_of_domain_valid,one_token,historical_temperature,brier_multiclass_sum,0.18245605343498944,100,100,1.0
JCoLA,out_of_domain_valid,one_token,historical_temperature,brier_binary_true,0.09122802671749472,100,100,1.0
JCoLA,out_of_domain_valid,one_token,historical_temperature,ece_10_equal_width,0.05281616674155999,100,100,1.0
JCoLA,out_of_domain_valid,json,hard_label,accuracy,0.85,100,100,1.0
JCoLA,out_of_domain_valid,json,hard_label,balanced_accuracy,0.8452380952380952,100,100,1.0
JCoLA,out_of_domain_valid,json,hard_label,macro_f1,0.829059829059829,100,100,1.0
JCoLA,out_of_domain_valid,json,hard_label,mcc,0.6633880657639325,100,100,1.0
JSTS,all,direct,hard_selected_stage,mae,0.548,200,200,1.0
JSTS,all,direct,hard_selected_stage,rmse,0.7464583042608609,200,200,1.0
JSTS,all,direct,hard_selected_stage,pearson,0.9058266117996377,200,200,1.0
JSTS,all,direct,hard_selected_stage,spearman_average_ranks,0.8753557075573405,200,200,1.0
JSTS,all,direct,hard_selected_stage,normalized_mae_divided_by_5,0.1096,200,200,1.0
JSTS,all,direct,t1,mae,0.5064932742637216,200,200,1.0
JSTS,all,direct,t1,rmse,0.6688013286685927,200,200,1.0
JSTS,all,direct,t1,pearson,0.9192133661552703,200,200,1.0
JSTS,all,direct,t1,spearman_average_ranks,0.889231016399466,200,200,1.0
JSTS,all,direct,t1,normalized_mae_divided_by_5,0.10129865485274432,200,200,1.0
